,ID,RESTAURANT NAME,INSPECTION YEAR,NUMBER OF CRITICAL VIOLATIONS,ADDRESS
178,40367540,PICCOLA VENEZIA,2018,1.5,4201 28 AVENUE QUEENS NY 11103
179,40367570,NI-NI'S CAFE,2018,1.0,710 NEW DORP LANE STATEN ISLAND NY 10306
181,40367715,LA BONNE SOUPE BISTRO,2018,2.5,48 WEST   55 STREET MANHATTAN NY 10019
183,40367749,LENNY'S CLAM BAR,2018,2.0,16103 CROSSBAY BOULEVARD QUEENS NY 11414
185,40367752,GRIFFIS FACULTY CLUB,2018,1.5,521 EAST   68 STREET MANHATTAN NY 10065
187,40367789,DANI PIZZA AND RESTAURANT,2018,2.0,8128 LEFFERTS BOULEVARD QUEENS NY 11415
188,40367790,MCDONALD'S,2018,1.0,943 FLATBUSH AVENUE BROOKLYN NY 11226
189,40367829,MCDONALD'S,2018,1.0,7550 101 AVENUE QUEENS NY 11416
191,40367860,LB SPUMONI GARDENS,2018,1.0,2725 86 STREET BROOKLYN NY 11223
192,40367870,AMORE PIZZERIA & RESTAURANT,2018,1.0,3027 STRATTON STREET QUEENS NY 11354
194,40367946,THE LARK'S NEST,2018,1.0,4280 KATONAH AVE BRONX NY 10470
195,40368018,TERRACE CAFE,2018,1.0,2300 SOUTHERN BOULEVARD BRONX NY 10460
196,40368022,GRIZZLY GROUNDS,2018,1.0,2300 SOUTHERN BOULEVARD BRONX NY 10460
197,40368025,THE PECKING ORDER,2018,1.0,2300 SOUTHERN BOULEVARD BRONX NY 10460
198,40368034,ROADHOUSE RESTAURANT,2018,1.0,1402 CLOVE ROAD STATEN ISLAND NY 10301
199,40368157,ELEPHANT & CASTLE,2018,1.0,68 GREENWICH AVENUE MANHATTAN NY 10011
200,40368207,MILL BASIN KOSHER DELI,2018,1.0,5823 AVENUE T BROOKLYN NY 11234
201,40368223,OYSTER BAR,2018,1.5,0 GRAND CENTRAL TERMINAL MANHATTAN NY 10017
202,40368271,CHERRY TAVERN,2018,2.0,441 EAST    6 STREET MANHATTAN NY 10009
204,40368291,COLONNADE DINER,2018,2.0,2001 HYLAN BOULEVARD STATEN ISLAND NY 10306
205,40368313,RED FLAME DINER,2018,1.0,67 WEST   44 STREET MANHATTAN NY 10036
207,40368318,MAGGIES PLACE,2018,1.0,21 EAST   47 STREET MANHATTAN NY 10017
208,40368338,BRADY'S BAR,2018,1.0,1583 2 AVENUE MANHATTAN NY 10028
210,40368526,FROST RESTAURANT,2018,1.0,193 FROST STREET BROOKLYN NY 11211
211,40368555,IL CORTILE RESTAURANT,2018,1.0,123 MULBERRY STREET MANHATTAN NY 10013
213,40368577,DENNY'S PUB,2018,1.0,106 BEVERLY ROAD BROOKLYN NY 11218
214,40368581,MARIES CRISIS CAFE,2018,2.0,59 GROVE STREET MANHATTAN NY 10014
215,40368632,NEW PARKWAY RESTAURANT,2018,1.0,7504 13 AVENUE BROOKLYN NY 11228
216,40368725,CAFE RIAZOR,2018,1.0,245 WEST   16 STREET MANHATTAN NY 10011
218,40368801,MARBELLA RESTAURANT,2018,2.0,22033 NORTHERN BOULEVARD QUEENS NY 11361
219,40368809,P.J.' S,2018,1.0,18925 UNION TURNPIKE QUEENS NY 11366
221,40368824,DOUBLES CLUB,2018,1.0,783 5 AVENUE MANHATTAN NY 10022
223,40368897,HATSUHANA RESTAURANT,2018,1.0,17 EAST   48 STREET MANHATTAN NY 10017
224,40369012,VALENTINO'S PIZZA,2018,2.0,7147 KISSENA BOULEVARD QUEENS NY 11367
226,40369016,VIAND COFFEE SHOP,2018,1.0,673 MADISON AVENUE MANHATTAN NY 10065
227,40369017,PALM TOO,2018,3.0,840 2 AVENUE MANHATTAN NY 10017
228,40369087,BLUE BAY RESTAURANT,2018,2.6666666666666665,3533 JOHNSON AVENUE BRONX NY 10463
229,40369111,THE HYTES BAR,2018,1.0,1082 ST JOHNS PLACE BROOKLYN NY 11213
230,40369139,PERGOLA DES ARTISTES,2018,1.0,252 WEST   46 STREET MANHATTAN NY 10036
231,40369158,JODY'S CLUB,2018,1.0,372 FOREST AVENUE STATEN ISLAND NY 10301
232,40369165,REIF'S TAVERN,2018,1.0,302 EAST   92 STREET MANHATTAN NY 10128
234,40369213,WHITESTONE LANES,2018,1.0,3005 WHITESTONE EXPRESSWAY QUEENS NY 11354
235,40369262,JOHN'S PIZZERIA,2018,2.0,8502 GRAND AVENUE QUEENS NY 11373
236,40369299,SEASHORE RESTAURANT,2018,1.0,591 CITY ISLAND AVE BRONX NY 10464
237,40369418,CAFFE REGGIO,2018,1.0,119 MAC DOUGAL STREET MANHATTAN NY 10012
239,40369461,CAFE UN DEUX TROIS,2018,2.0,123 WEST   44 STREET MANHATTAN NY 10036
241,40369482,ARMANDO'S PIZZA,2018,1.0,1366 PENNSYLVANIA AVENUE BROOKLYN NY 11239
242,40369521,KNICKERBOCKER BAR & GRILL,2018,1.0,33 UNIVERSITY PLACE MANHATTAN NY 10003
244,40369580,EL POTE ESPANOL,2018,3.0,718 2 AVENUE MANHATTAN NY 10016
245,40369608,THE RIVER CAFE,2018,2.0,1 WATER STREET BROOKLYN NY 11201
246,40369619,MUDVILLE SALOON,2018,1.0,126 CHAMBERS STREET MANHATTAN NY 10007
248,40369667,WHITE CASTLE,2018,2.0,846 EMPIRE BOULEVARD BROOKLYN NY 11213
250,40369669,WHITE CASTLE,2018,1.0,2701 BOSTON POST ROAD BRONX NY 10467
251,40369675,WHITE CASTLE,2018,1.0,4302 QUEENS BOULEVARD QUEENS NY 11104
253,40369724,MCDONALD'S,2018,1.0,10615 71 AVENUE QUEENS NY 11375
254,40369775,THE CUPPING ROOM,2018,2.5,359 WEST BROADWAY MANHATTAN NY 10013
257,40369849,GINO'S PIZZERIA,2018,1.0,6132 SPRINGFIELD BOULEVARD QUEENS NY 11364
259,40369869,JIM BRADY'S RESTAURANT,2018,2.0,75 MAIDEN LANE MANHATTAN NY 10038
260,40369940,THE NEW AMITY RESTAURANT,2018,1.0,1134 MADISON AVENUE MANHATTAN NY 10028
262,40369954,VOLARE RESTAURANT,2018,1.0,147 WEST FOURTH STREET MANHATTAN NY 10012
263,40369958,SPARKS STEAK HOUSE,2018,1.0,210 EAST   46 STREET MANHATTAN NY 10017
264,40369983,THE DART SPORTS BAR,2018,1.0,8318 PARSONS BOULEVARD QUEENS NY 11432
267,40370150,JOHN MULLIGAN'S FIRESIDE PUB,2018,1.0,4272 KATONAH AVENUE BRONX NY 10470
268,40370167,BURGER KING,2018,1.0,22210 NORTHERN BOULEVARD QUEENS NY 11361
269,40370168,EAR INN,2018,1.0,326 SPRING STREET MANHATTAN NY 10013
270,40370342,GREENPOINT TAVERN,2018,1.0,188 BEDFORD AVENUE BROOKLYN NY 11249
271,40370356,MCDONALD'S,2018,1.0,3267 RICHMOND AVENUE STATEN ISLAND NY 10312
272,40370436,ROSSINI'S,2018,1.0,108 EAST   38 STREET MANHATTAN NY 10016
274,40370463,THREE GUY'S RESTAURANT,2018,1.0,960 MADISON AVENUE MANHATTAN NY 10021
276,40370507,THE PLAYERS,2018,2.0,16 GRAMERCY PARK SOUTH MANHATTAN NY 10003
278,40370638,TJK CAFE & RESTAURANT,2018,2.0,24904 HORACE HARDING BOULEVARD QUEENS NY 11362
280,40370766,SMITH & WOLLENSKY,2018,1.0,201 EAST 49th STREET MANHATTAN NY 10017
281,40370781,MCDONALD'S,2018,1.5,16011 WILLETS POINT BOULEVARD QUEENS NY 11357
283,40370856,OLIVE TREE CAFE & COMEDY CELLAR,2018,1.0,117 MAC DOUGAL STREET MANHATTAN NY 10012
284,40370916,BURGER KING,2018,1.0,25810 HILLSIDE AVENUE QUEENS NY 11004
286,40370917,BURGER KING,2018,1.0,9006 CHURCH AVENUE BROOKLYN NY 11236
287,40370939,MANDUCATIS,2018,1.0,1327 JACKSON AVENUE QUEENS NY 11101
288,40370994,MAMMA LUCIA,2018,1.0,1701 FOSTER AVENUE BROOKLYN NY 11230
290,40371454,WEST BANK CAFE,2018,1.0,407 WEST   42 STREET MANHATTAN NY 10036
291,40371614,LA BARAKA RESTAURANT,2018,2.0,25509 NORTHERN BOULEVARD QUEENS NY 11362
293,40371684,LIBERMAN'S LUNCHEONETTE,2018,1.0,4801 16 AVENUE BROOKLYN NY 11204
295,40371727,LA PALINA RESTAURANT,2018,1.0,159 AVENUE O BROOKLYN NY 11204
296,40371805,TY'S,2018,1.5,114 CHRISTOPHER STREET MANHATTAN NY 10014
297,40371906,MARINER INN,2018,1.0,3501 AVENUE S BROOKLYN NY 11234
298,40371988,NORTH SHORE DINER,2018,1.5,19652 NORTHERN BLVD QUEENS NY 11358
300,40372112,GREEN HOUSE CAFE,2018,1.5,7717 THIRD AVENUE BROOKLYN NY 11209
301,40372196,MCDONALD'S,2018,1.0,3660 EAST TREMONT AVENUE BRONX NY 10465
303,40372262,LA RIPAILLE RESTAURANT,2018,1.0,605 HUDSON STREET MANHATTAN NY 10014
304,40372357,MARINA CAFE,2018,2.0,154 MANSION AVE STATEN ISLAND NY 10308
305,40372417,DON FILIPPO RESTAURANT,2018,1.0,1133 LEXINGTON AVENUE MANHATTAN NY 10075
307,40372422,BURGER KING,2018,1.0,9283 QUEENS BOULEVARD QUEENS NY 11374
308,40372426,DAZIES RESTAURANT,2018,2.0,3941 QUEENS BOULEVARD QUEENS NY 11104
309,40372445,OMONIA CAFE,2018,1.0,3220 BROADWAY QUEENS NY 11106
310,40372466,MURALS ON 54/RANDOLPH'S,2018,2.5,65 WEST   54 STREET MANHATTAN NY 10019
312,40372618,BURGER KING,2018,1.0,15405 ROCKAWAY BOULEVARD QUEENS NY 11434
314,40372631,YANKEE JZ PIZZA,2018,2.0,1599 WESTCHESTER AVENUE BRONX NY 10472
315,40372694,CLINTON RESTAURANT,2018,1.0,917 CLINTONVILLE STREET QUEENS NY 11357
316,40372971,RACQUET & TENNIS CLUB,2018,1.0,370 PARK AVENUE MANHATTAN NY 10022
319,40373118,GOLDEN DOVE DINER,2018,1.0,3281 RICHMOND AVENUE STATEN ISLAND NY 10312
321,40373160,KORNER PIZZERIA,2018,1.0,226 CHURCH AVENUE BROOKLYN NY 11218
322,40373272,HENRY'S END,2018,2.0,44 HENRY STREET BROOKLYN NY 11201
323,40373462,VILLA BERULIA,2018,1.0,107 EAST   34 STREET MANHATTAN NY 10016
325,40373500,VICTOR'S CAFE,2018,2.0,236 WEST   52 STREET MANHATTAN NY 10019
326,40373597,PETES PIZZERIA & RESTAURANT,2018,1.0,7522 3 AVENUE BROOKLYN NY 11209
327,40373656,KEENS STEAKHOUSE,2018,2.0,72 WEST 36th STREET MANHATTAN NY 10018
329,40373888,IL MULINO,2018,1.0,86 WEST    3 STREET MANHATTAN NY 10012
330,40373889,FELIDIA RESTAURANT,2018,1.0,243 EAST   58 STREET MANHATTAN NY 10022
331,40373909,MCDONALD'S,2018,1.0,5804 CLARENDON ROAD BROOKLYN NY 11203
332,40373912,THE MALT HOUSE,2018,1.0,206 THOMPSON STREET MANHATTAN NY 10012
333,40373937,SHUN LEE,2018,1.0,37 WEST   65 STREET MANHATTAN NY 10023
334,40373938,IHOP,2018,1.0,5655 BROADWAY BRONX NY 10463
336,40374088,PONGSRI THAI RESTAURANT,2018,2.5,244 WEST   48 STREET MANHATTAN NY 10036
337,40374131,PRIMAVERA PIZZA & PASTA,2018,1.0,1005 2 AVENUE MANHATTAN NY 10022
339,40374136,TONY'S PIER RESTAURANT,2018,2.0,1 CITY ISLAND AVE BRONX NY 10464
340,40374192,ELIO'S,2018,4.0,1621 SECOND AVENUE MANHATTAN NY 10028
341,40374266,KASTELI II,2018,2.0,372 8 AVENUE MANHATTAN NY 10001
343,40374277,MOLLY WEE PUB,2018,1.0,402 8 AVENUE MANHATTAN NY 10001
344,40374415,OMEN JAPANESE CUISINE,2018,1.0,113 THOMPSON STREET MANHATTAN NY 10012
347,40374834,CASA BELLA,2018,2.0,127 MULBERRY STREET MANHATTAN NY 10013
348,40374974,CHEZ NAPOLEON,2018,1.0,365 WEST   50 STREET MANHATTAN NY 10019
349,40375108,TURKEY'S NEST TAVERN,2018,1.5,94 BEDFORD AVENUE BROOKLYN NY 11249
351,40375369,OZONE PIZZERIA,2018,1.0,9615 LIBERTY AVENUE QUEENS NY 11417
353,40375376,AGRA RESTAURANT,2018,3.0,807 LEXINGTON AVENUE MANHATTAN NY 10065
354,40375616,ARTURO'S,2018,2.0,1617 YORK AVENUE MANHATTAN NY 10028
355,40375634,PARIS BLUES,2018,2.0,2021 7 AVENUE MANHATTAN NY 10027
356,40375699,GENE'S RESTURANT,2018,1.0,73 WEST   11 STREET MANHATTAN NY 10011
357,40375819,MARIA RISTORANTE,2018,4.0,3073 EMMONS AVENUE BROOKLYN NY 11235
358,40375839,COZY SOUP & BURGER,2018,1.5,739 BROADWAY MANHATTAN NY 10003
360,40376029,MOMS LUNCHEONETTE,2018,1.0,10102 103 AVENUE QUEENS NY 11417
362,40376077,FONTANA FAMOUS PIZZA & GYRO,2018,1.0,20002 NORTHERN BOULEVARD QUEENS NY 11361
363,40376142,LUSARDI'S RESTAURANT,2018,2.0,1494 SECOND AVENUE MANHATTAN NY 10075
364,40376204,PORTOFINO,2018,1.0,10932 ASCAN AVENUE QUEENS NY 11375
365,40376290,KING'S ARMS RESTAURANT,2018,1.0,500 FOREST AVENUE STATEN ISLAND NY 10310
367,40376352,BLUE NOTE JAZZ,2018,1.0,131 WEST    3 STREET MANHATTAN NY 10012
369,40376495,MARCO POLO RISTORANTE,2018,1.0,345 COURT STREET BROOKLYN NY 11231
371,40376496,MANHATTAN MONSTER,2018,1.5,80 GROVE STREET MANHATTAN NY 10014
372,40376635,TRIPOLI RESTAURANT/SWALLOW CAFE,2018,1.0,156 ATLANTIC AVENUE BROOKLYN NY 11201
373,40376718,PJ BERNSTEIN DELI & RESTAURANT,2018,1.0,1215 THIRD AVENUE MANHATTAN NY 10021
