,index,ADDRESS,LOCATION,POINT
90,133,69 NEW STREET MANHATTAN NY 10004,"The Grotto, 69, New Street, Financial District, Manhattan, Manhattan Community Board 1, New York County, NYC, New York, 10004, USA","(40.7057076, -74.0123841, 0.0)"
91,134,2073 FOREST AVENUE STATEN ISLAND NY 10303,"2073, Forest Avenue, Arlington, Staten Island, Richmond County, NYC, New York, 10303, USA","(40.626365, -74.1583196666667, 0.0)"
92,135,5977 BROADWAY BRONX NY 10471,"Broadway, Fieldston, Bronx County, NYC, New York, 10471, USA","(40.892084, -73.8971095, 0.0)"
93,136,5729 MAIN STREET QUEENS NY 11355,"Main Street, Queens, Queens County, NYC, New York, 11355, USA","(40.7410734, -73.8251109, 0.0)"
94,138,77 IRVING PLACE MANHATTAN NY 10003,"Friend of a Farmer, 77, Irving Place, Gramercy, Manhattan, Manhattan Community Board 5, New York County, NYC, New York, 10003, USA","(40.7369497, -73.986783, 0.0)"
95,140,2169 STEINWAY STREET QUEENS NY 11105,"Steinway Street, Steinway, Queens County, NYC, New York, 11105, USA","(40.7693724, -73.9103133, 0.0)"
96,143,200 5 AVENUE BROOKLYN NY 11217,"200, Avenue Y, Gravesend, Kings County, NYC, New York, 11223, USA","(40.5879547624309, -73.9733614143646, 0.0)"
97,145,17101 NORTHERN BOULEVARD QUEENS NY 11358,"Northern Boulevard, Murray Hill, Queens, Queens County, NYC, New York, 11362, USA","(40.7577494, -73.7943852, 0.0)"
98,146,378 8 AVENUE MANHATTAN NY 10001,"Manhattan, New York County, NYC, New York, USA","(40.7900869, -73.9598295, 0.0)"
99,148,921 RICHMOND AVENUE STATEN ISLAND NY 10314,"921, Richmond Avenue, Graniteville, Staten Island, Richmond County, NYC, New York, 10314, USA","(40.62476725, -74.1485608013917, 0.0)"
100,150,3946 SKILLMAN AVENUE QUEENS NY 11104,"Skillman Avenue, Sunnyside Gardens, Queens County, NYC, New York, 11104, USA","(40.746891, -73.920798, 0.0)"
101,153,2020 BROADWAY MANHATTAN NY 10023,"Westside Restaurant, 2020, Broadway, Lincoln Square, Manhattan, Manhattan Community Board 7, New York County, NYC, New York, 10023, USA","(40.776403, -73.9818396, 0.0)"
102,154,2671 BROADWAY MANHATTAN NY 10025,"Sal & Carmine Pizza, 2671, Broadway, Manhattan Valley, Manhattan, Manhattan Community Board 7, New York County, NYC, New York, 10025, USA","(40.7983425, -73.9694321, 0.0)"
103,155,21317 NORTHERN BOULEVARD QUEENS NY 11361,"Northern Boulevard, Oakland Gardens, Queens, Queens County, NYC, New York, 11362, USA","(40.7607424, -73.7660435, 0.0)"
104,156,5024 SKILLMAN AVENUE QUEENS NY 11377,"Skillman Avenue, Woodside, Queens County, NYC, New York, 11377, USA","(40.745671, -73.910354, 0.0)"
105,159,110 AVENUE OF THE AMERICAS MANHATTAN NY 10013,"110, 6th Avenue, SoHo, Manhattan, Manhattan Community Board 2, New York County, NYC, New York, 10013, USA","(40.72372, -74.004637, 0.0)"
106,160,8707 ROOSEVELT AVENUE QUEENS NY 11372,"Roosevelt Avenue, Jackson Heights, Queens County, NYC, New York, 11372, USA","(40.7468181, -73.8917049, 0.0)"
107,162,280 WATCHOGUE ROAD STATEN ISLAND NY 10314,"280, Watchogue Road, Westerleigh, Staten Island, Todt Hill, Richmond County, NYC, New York, 10314, USA","(40.6160666, -74.1386744, 0.0)"
108,163,145 BLEECKER STREET MANHATTAN NY 10012,"Peculier Pub, 145, Bleecker Street, NoHo Historic District, NoHo, Manhattan, Manhattan Community Board 2, New York County, NYC, New York, 10012, USA","(40.7283007, -73.9991218, 0.0)"
109,164,5189A BROADWAY BRONX NY 10463,"5189, Broadway, Kingsbridge, The Bronx, Bronx County, NYC, New York, 10463, USA","(40.8772997663551, -73.9060593738318, 0.0)"
110,166,4307 18 AVENUE BROOKLYN NY 11218,"Avenue Y, Sheepshead Bay, Kings County, NYC, New York, 11235, USA","(40.592119, -73.9362774, 0.0)"
111,167,614 9 AVENUE MANHATTAN NY 10036,"Manhattan, New York County, NYC, New York, USA","(40.7900869, -73.9598295, 0.0)"
112,169,1665 METROPOLITAN AVENUE BRONX NY 10462,"1665, Metropolitan Avenue, Parkchester, The Bronx, Bronx County, NYC, New York, 10462, USA","(40.84061725, -73.85489835, 0.0)"
113,171,152 LAWRENCE STREET BROOKLYN NY 11201,"152, Lawrence Street, Downtown Brooklyn, Kings County, NYC, New York, 11201, USA","(40.6917729428571, -73.9861854428571, 0.0)"
114,172,1090 MADISON AVENUE MANHATTAN NY 10028,"1090, Madison Avenue, Upper East Side, Manhattan, Manhattan Community Board 8, New York County, NYC, New York, 10028, USA","(40.7781891, -73.9609357, 0.0)"
115,173,2214 BARTOW AVE BRONX NY 10475,"2214, Bartow Avenue, Co-Op City, Bronx County, NYC, New York, 10475, USA","(40.8691473245422, -73.82478150636, 0.0)"
116,175,945 PENNSYLVANIA AVENUE BROOKLYN NY 11207,"945, Pennsylvania Avenue, East New York, Kings County, NYC, New York, 11207, USA","(40.6551407241379, -73.8879290689655, 0.0)"
117,177,2880 BROADWAY MANHATTAN NY 10025,"Tom's Restaurant, 2880, Broadway, Morningside Heights, Manhattan, Manhattan Community Board 9, New York County, NYC, New York, 10025, USA","(40.8054303, -73.9654035, 0.0)"
118,178,84 COURT STREET BROOKLYN NY 11201,"84, Court Street, Brooklyn Heights, Kings County, NYC, New York, 11201, USA","(40.6913535, -73.9918870746247, 0.0)"
119,179,51 SPRING STREET MANHATTAN NY 10012,"51, Spring Street, Little Italy, Manhattan, Manhattan Community Board 2, New York County, NYC, New York, 10012, USA","(40.7221019, -73.9964217, 0.0)"
120,180,7205 AUSTIN STREET QUEENS NY 11375,"Austin Street, Kew Gardens, Queens County, NYC, New York, 11375, USA","(40.717803, -73.839558, 0.0)"
121,181,1345 AMSTERDAM AVENUE MANHATTAN NY 10027,"1345, Amsterdam Avenue, Manhattanville, Manhattan, Manhattan Community Board 9, New York County, NYC, New York, 10027, USA","(40.81353385, -73.9558753772281, 0.0)"
