,ID,RESTAURANT NAME,BOROUGH,BUILDING,STREET,ZIPCODE,INSPECTION YEAR,GRADE,NUMBER OF CRITICAL VIOLATIONS
23199,50065534,YORKVILLE BAGEL & CAFE,MANHATTAN,1821,2ND AVE,10128,2018,0,2.0
23200,50065549,KANTU PERUVIAN CUISINE,QUEENS,7417,METROPOLITAN AVE,11379,2018,0,1.0
23201,50065549,KANTU PERUVIAN CUISINE,QUEENS,7417,METROPOLITAN AVE,11379,2019,0,1.0
23202,50065554,GOOD PIZZA,QUEENS,5220,FLUSHING AVE,11378,2018,0,2.0
23203,50065554,GOOD PIZZA,QUEENS,5220,FLUSHING AVE,11378,2019,0,3.0
23204,50065555,FIVE STAR PIZZA & BURGERS,BRONX,295,E GUN HILL RD,10467,2018,0,3.0
23205,50065555,FIVE STAR PIZZA & BURGERS,BRONX,295,E GUN HILL RD,10467,2019,0,1.0
23206,50065558,MAISON KAYSER,MANHATTAN,400,5TH AVE,10018,2019,0,1.0
23207,50065559,ANTOJITOS AND NATURAL JUICE BAR,BRONX,3748,THIRD AVE,10456,2018,0,1.0
23208,50065559,ANTOJITOS AND NATURAL JUICE BAR,BRONX,3748,THIRD AVE,10456,2019,0,1.0
23209,50065563,BERIKONI,BROOKLYN,125,BRIGHTON BEACH AVE,11235,2018,0,1.0
23210,50065564,THE PUBLIC NEW YORK,MANHATTAN,215,CHRYSTIE ST,10002,2018,0,1.0
23211,50065575,SWEETGREEN 91ST AND BROADWAY,MANHATTAN,2460,BROADWAY,10025,2018,0,1.0
23212,50065580,SWEETGREEN UNIVERSITY PLACE,MANHATTAN,101,UNIVERSITY PL,10003,2018,0,1.0
23213,50065582,OOHLALA AMBIANCE EXPRESS,BROOKLYN,1433,FLATBUSH AVE,11210,2019,0,1.0
23214,50065595,SOLID STATE,QUEENS,5322,ROOSEVELT AVE,11377,2018,0,1.0
23215,50065598,INDIKITCH,MANHATTAN,1190,6TH AVE,10036,2018,0,1.0
23216,50065610,Happy Family,MANHATTAN,213,E BROADWAY,10002,2018,0,1.0
23217,50065610,Happy Family,MANHATTAN,213,E BROADWAY,10002,2019,0,1.0
23218,50065637,MADE IN PUERTO RICO BAR & LOUNGE,BRONX,26,BRUCKNER BLVD,10454,2018,0,4.0
23219,50065639,QUEENS ROOM,QUEENS,3602,DITMARS BLVD,11105,2018,0,2.0
23220,50065639,QUEENS ROOM,QUEENS,3602,DITMARS BLVD,11105,2019,0,2.0
23221,50065640,NEW WAH YEUNG'S,QUEENS,4324,43RD AVE,11104,2018,0,1.0
23222,50065640,NEW WAH YEUNG'S,QUEENS,4324,43RD AVE,11104,2019,0,3.0
23223,50065644,NEW GRAND BUFFET,QUEENS,3445,48TH ST,11101,2018,0,2.5
23224,50065649,AD HOC COLLECTIVE,MANHATTAN,13,CHRISTOPHER ST,10014,2018,0,1.0
23225,50065649,AD HOC COLLECTIVE,MANHATTAN,13,CHRISTOPHER ST,10014,2019,0,2.0
23226,50065651,VELVETTE BREW ESPRESSO BAR,BROOKLYN,251,SMITH STREET,11231,2018,0,1.0
23227,50065653,COLONY 274,BROOKLYN,274,4TH AVE,11215,2018,0,1.0
23228,50065655,JA BURGER'S N SHAKES,BROOKLYN,264,BLEECKER ST,11237,2018,0,2.0
23229,50065660,SOPHIE'S CUBAN CUISINE,MANHATTAN,947,8TH AVE,10019,2018,0,1.0
23230,50065664,EL GALLO NEGRO,QUEENS,11112,ROOSEVELT AVE,11368,2018,0,1.0
23231,50065667,SUSHI FUSSION,MANHATTAN,26,W 47TH ST,10036,2018,0,1.0
23232,50065668,MOISHE'S PLACE,BROOKLYN,868,BEDFORD AVE,11205,2018,0,4.0
23233,50065669,COCO THAI,BROOKLYN,268,PROSPECT PARK W,11215,2018,0,1.0
23234,50065669,COCO THAI,BROOKLYN,268,PROSPECT PARK W,11215,2019,0,1.0
23235,50065671,SOTTO LE STELLE,QUEENS,4407,QUEENS BLVD,11104,2018,0,1.0
23236,50065671,SOTTO LE STELLE,QUEENS,4407,QUEENS BLVD,11104,2019,0,1.0
23237,50065679,NEW LEVEL JUICE,MANHATTAN,2244,1ST AVE,10029,2018,0,1.0
23238,50065683,BARLEY DISFIGURED,BROOKLYN,257,SMITH ST,11231,2018,0,1.0
23239,50065684,MEET CUISINE & BAR,QUEENS,3610,UNION ST,11354,2018,0,3.0
23240,50065691,LOVERBOY,MANHATTAN,127,AVENUE C,10009,2018,0,2.0
23241,50065693,WINE LEGEND,BROOKLYN,81,FLEET PL,11201,2018,0,2.0
23242,50065695,MR. Q'S,BRONX,2115,WILLIAMSBRIDGE RD,10461,2018,0,1.0
23243,50065695,MR. Q'S,BRONX,2115,WILLIAMSBRIDGE RD,10461,2019,0,2.0
23244,50065696,RUTA DEL SABOR,STATEN ISLAND,1278,CASTLETON AVE,10310,2018,0,1.5
23245,50065703,MAKIMAKI,MANHATTAN,1369,6TH AVE,10019,2018,0,2.0
23246,50065709,PROVENANCE MEALS,BROOKLYN,301,COLUMBIA ST,11231,2018,0,1.0
23247,50065719,FRANCESCA'S PIZZA,BROOKLYN,529,HENRY ST,11231,2018,0,1.0
23248,50065719,FRANCESCA'S PIZZA,BROOKLYN,529,HENRY ST,11231,2019,0,1.0
23249,50065723,PANTRY MARKET EATERY,QUEENS,2420,JACKSON AVE,11101,2018,0,1.0
23250,50065723,PANTRY MARKET EATERY,QUEENS,2420,JACKSON AVE,11101,2019,0,2.0
23251,50065726,LINCOLN FRIED CHICKEN,MANHATTAN,576,W 125TH ST,10027,2018,0,1.0
23252,50065726,LINCOLN FRIED CHICKEN,MANHATTAN,576,W 125TH ST,10027,2019,0,1.0
23253,50065727,THE GRUMPY CAT BAR,BROOKLYN,480,62ND ST,11220,2018,0,1.0
23254,50065731,SAFFRON GARDEN,QUEENS,4611,SKILLMAN AVE,11104,2018,0,1.0
23255,50065733,DEL FRISCO'S GRILLE,MANHATTAN,200,VESEY ST,10281,2018,0,2.0
23256,50065747,SUBWAY,BROOKLYN,2915,STILLWELL AVE,11224,2018,0,1.0
23257,50065752,BAGELS N DELI,BROOKLYN,410,CHURCH AVE,11218,2018,0,1.6666666666666667
23258,50065752,BAGELS N DELI,BROOKLYN,410,CHURCH AVE,11218,2019,0,1.0
23259,50065772,Butterfield Cafe at 200 Lex,MANHATTAN,200,LEXINGTON AVE,10016,2018,0,1.0
23260,50065773,ONE MORE DRINKS,MANHATTAN,1,PIKE ST,10002,2018,0,1.0
