,ID,RESTAURANT NAME,INSPECTION YEAR,NUMBER OF NON-CRITICAL VIOLATIONS,ADDRESS
199,40368026,AFRICAN MARKET (BABOON CAFE),2018,1.0,2300 SOUTHERN BOULEVARD BRONX NY 10460
200,40368034,ROADHOUSE RESTAURANT,2018,1.0,1402 CLOVE ROAD STATEN ISLAND NY 10301
201,40368157,ELEPHANT & CASTLE,2018,2.0,68 GREENWICH AVENUE MANHATTAN NY 10011
202,40368207,MILL BASIN KOSHER DELI,2018,1.0,5823 AVENUE T BROOKLYN NY 11234
203,40368223,OYSTER BAR,2018,2.0,0 GRAND CENTRAL TERMINAL MANHATTAN NY 10017
204,40368271,CHERRY TAVERN,2018,2.0,441 EAST    6 STREET MANHATTAN NY 10009
206,40368291,COLONNADE DINER,2018,1.0,2001 HYLAN BOULEVARD STATEN ISLAND NY 10306
207,40368313,RED FLAME DINER,2018,1.0,67 WEST   44 STREET MANHATTAN NY 10036
209,40368318,MAGGIES PLACE,2018,2.0,21 EAST   47 STREET MANHATTAN NY 10017
210,40368338,BRADY'S BAR,2018,2.0,1583 2 AVENUE MANHATTAN NY 10028
211,40368374,JIMMY'S CORNER,2018,2.0,140 WEST   44 STREET MANHATTAN NY 10036
212,40368526,FROST RESTAURANT,2018,1.5,193 FROST STREET BROOKLYN NY 11211
213,40368555,IL CORTILE RESTAURANT,2018,1.0,123 MULBERRY STREET MANHATTAN NY 10013
215,40368577,DENNY'S PUB,2018,1.0,106 BEVERLY ROAD BROOKLYN NY 11218
216,40368632,NEW PARKWAY RESTAURANT,2018,1.0,7504 13 AVENUE BROOKLYN NY 11228
217,40368725,CAFE RIAZOR,2018,2.0,245 WEST   16 STREET MANHATTAN NY 10011
220,40368809,P.J.' S,2018,1.0,18925 UNION TURNPIKE QUEENS NY 11366
222,40368824,DOUBLES CLUB,2018,2.0,783 5 AVENUE MANHATTAN NY 10022
224,40368897,HATSUHANA RESTAURANT,2018,2.0,17 EAST   48 STREET MANHATTAN NY 10017
225,40369012,VALENTINO'S PIZZA,2018,1.0,7147 KISSENA BOULEVARD QUEENS NY 11367
226,40369016,VIAND COFFEE SHOP,2018,1.0,673 MADISON AVENUE MANHATTAN NY 10065
227,40369017,PALM TOO,2018,2.0,840 2 AVENUE MANHATTAN NY 10017
228,40369087,BLUE BAY RESTAURANT,2018,1.5,3533 JOHNSON AVENUE BRONX NY 10463
229,40369111,THE HYTES BAR,2018,1.0,1082 ST JOHNS PLACE BROOKLYN NY 11213
230,40369139,PERGOLA DES ARTISTES,2018,1.0,252 WEST   46 STREET MANHATTAN NY 10036
231,40369158,JODY'S CLUB,2018,2.0,372 FOREST AVENUE STATEN ISLAND NY 10301
232,40369165,REIF'S TAVERN,2018,1.0,302 EAST   92 STREET MANHATTAN NY 10128
234,40369213,WHITESTONE LANES,2018,2.0,3005 WHITESTONE EXPRESSWAY QUEENS NY 11354
235,40369262,JOHN'S PIZZERIA,2018,2.0,8502 GRAND AVENUE QUEENS NY 11373
236,40369299,SEASHORE RESTAURANT,2018,1.0,591 CITY ISLAND AVE BRONX NY 10464
237,40369418,CAFFE REGGIO,2018,1.0,119 MAC DOUGAL STREET MANHATTAN NY 10012
239,40369521,KNICKERBOCKER BAR & GRILL,2018,1.0,33 UNIVERSITY PLACE MANHATTAN NY 10003
240,40369580,EL POTE ESPANOL,2018,1.5,718 2 AVENUE MANHATTAN NY 10016
241,40369608,THE RIVER CAFE,2018,1.0,1 WATER STREET BROOKLYN NY 11201
242,40369619,MUDVILLE SALOON,2018,1.5,126 CHAMBERS STREET MANHATTAN NY 10007
244,40369641,JOHNNY'S REEF RESTAURANT,2018,2.0,2 CITY ISLAND AVE BRONX NY 10464
246,40369669,WHITE CASTLE,2018,2.0,2701 BOSTON POST ROAD BRONX NY 10467
247,40369675,WHITE CASTLE,2018,1.0,4302 QUEENS BOULEVARD QUEENS NY 11104
249,40369716,FERDINANDO'S RESTAURANT,2018,1.0,151 UNION STREET BROOKLYN NY 11231
250,40369724,MCDONALD'S,2018,1.0,10615 71 AVENUE QUEENS NY 11375
251,40369759,NECTAR COFFEE SHOP,2018,1.0,1022 MADISON AVENUE MANHATTAN NY 10075
